listener_id,country,age_group,gender,subscription_type,signup_date
69,India,35-44,Male,premium,2022-05-02
70,UK,35-44,Other,premium,2023-02-24
71,Australia,25-34,Female,premium,2023-07-15
72,USA,25-34,Male,premium,2022-10-31
73,Canada,18-24,Other,free,2022-04-25
74,Germany,35-44,Female,free,2022-12-09
75,USA,18-24,Other,free,2022-09-08
76,Australia,45+,Female,premium,2022-01-07
77,Germany,45+,Female,free,2024-01-01
78,UK,35-44,Other,premium,2023-08-12
79,UK,35-44,Other,free,2022-06-28
80,India,45+,Female,free,2022-05-25
81,Australia,35-44,Male,premium,2023-02-20
82,Canada,25-34,Other,free,2023-10-28
83,Germany,25-34,Female,free,2022-05-01
84,USA,35-44,Female,free,2022-05-04
85,Australia,45+,Male,free,2022-05-30
86,Australia,18-24,Male,premium,2023-02-01
87,UK,35-44,Male,free,2023-01-16
88,India,35-44,Other,free,2024-02-19
89,India,18-24,Female,free,2024-04-18
90,Germany,35-44,Female,premium,2022-01-01
91,UK,18-24,Female,free,2023-11-04
92,Australia,45+,Male,free,2022-09-01
93,Canada,25-34,Female,premium,2024-06-05
94,UK,45+,Other,free,2023-02-02
95,Germany,25-34,Male,premium,2022-09-08
96,Germany,18-24,Male,free,2024-05-28
97,UK,25-34,Male,free,2023-07-30
98,Germany,45+,Male,free,2022-10-26
99,UK,25-34,Other,premium,2024-01-30
100,USA,18-24,Female,premium,2024-08-11
101,UK,25-34,Other,free,2022-10-24
102,UK,35-44,Female,free,2024-09-03
103,Germany,45+,Other,premium,2024-08-21
104,Germany,35-44,Male,free,2023-05-15
105,India,18-24,Male,premium,2022-04-25
106,India,25-34,Other,free,2024-03-17
107,USA,35-44,Other,premium,2022-01-01
108,India,35-44,Female,free,2023-07-07
109,UK,25-34,Other,free,2023-11-16
110,Germany,25-34,Other,free,2023-08-23
111,India,45+,Female,premium,2023-04-27
112,India,35-44,Female,free,2023-09-02
113,USA,35-44,Female,free,2023-08-23
114,Australia,18-24,Other,free,2024-02-02
115,USA,45+,Female,free,2023-05-25
116,UK,18-24,Male,premium,2022-12-01
117,Germany,35-44,Male,premium,2023-04-10
118,USA,18-24,Male,free,2022-05-21
119,India,35-44,Other,premium,2023-08-06
120,Germany,35-44,Male,premium,2022-05-17
121,Germany,18-24,Other,premium,2024-08-16
122,India,18-24,Other,free,2023-09-03
123,USA,25-34,Male,premium,2023-10-25
124,India,25-34,Female,free,2024-08-07
125,Australia,25-34,Other,free,2023-11-18
126,Germany,35-44,Male,premium,2022-06-16
127,Canada,18-24,Other,free,2022-12-09
128,Canada,45+,Female,free,2023-02-14
129,UK,35-44,Female,premium,2024-02-08
130,India,45+,Male,premium,2024-06-28
131,India,18-24,Other,free,2024-01-06
132,UK,35-44,Other,premium,2024-05-29
133,UK,45+,Other,free,2024-04-21
134,UK,45+,Other,free,2022-03-06
135,Germany,25-34,Male,premium,2023-08-04
136,Australia,25-34,Female,free,2022-03-08
137,India,25-34,Male,free,2023-03-09
138,Germany,35-44,Other,free,2022-02-19
139,UK,18-24,Other,free,2022-11-10
140,India,18-24,Female,free,2022-11-05
141,Germany,25-34,Other,premium,2023-08-26
142,Australia,25-34,Male,premium,2022-04-25
143,Germany,25-34,Male,free,2024-06-04
144,Australia,45+,Female,premium,2023-07-23
145,UK,25-34,Male,free,2022-12-08
146,Australia,45+,Male,free,2023-06-14
147,India,18-24,Male,premium,2024-02-23
148,UK,35-44,Male,free,2023-10-04
149,India,35-44,Other,free,2023-05-10
150,Canada,35-44,Male,free,2022-09-26
151,USA,35-44,Female,free,2024-07-29
152,Australia,45+,Female,premium,2022-03-21
153,USA,45+,Male,free,2023-04-01
154,USA,25-34,Female,free,2022-10-26
155,Australia,45+,Male,free,2024-08-25
156,UK,25-34,Female,free,2024-04-01
157,Canada,25-34,Female,free,2022-07-21
158,India,35-44,Male,free,2023-05-18
159,Germany,45+,Male,premium,2024-01-07
160,India,45+,Other,premium,2023-11-02
161,Germany,25-34,Male,free,2023-12-17
162,India,25-34,Male,free,2023-10-11
163,Australia,18-24,Other,free,2023-04-30
164,Canada,18-24,Male,premium,2023-08-08
165,Germany,25-34,Male,premium,2023-07-14
166,UK,18-24,Other,free,2022-01-18
167,India,18-24,Male,premium,2023-04-23
168,India,25-34,Male,free,2024-09-18
169,Germany,25-34,Other,free,2023-05-03
170,UK,45+,Other,free,2024-09-09
171,UK,25-34,Female,free,2024-02-18
172,Australia,25-34,Male,free,2023-03-22
173,Australia,35-44,Female,free,2022-12-06
174,Australia,45+,Female,free,2023-06-15
175,Australia,45+,Other,free,2023-09-04
176,Australia,45+,Male,free,2022-04-26
177,Australia,35-44,Male,free,2024-05-07
178,Canada,25-34,Other,free,2022-03-15
179,UK,45+,Female,free,2024-03-02
180,Australia,45+,Other,free,2022-09-26
181,UK,18-24,Male,free,2023-09-29
182,UK,45+,Other,free,2022-04-26
183,USA,25-34,Male,free,2023-11-17
184,Canada,25-34,Female,free,2023-11-24
185,Australia,18-24,Male,free,2024-01-08
186,India,45+,Female,premium,2023-10-31
187,Germany,45+,Female,free,2022-06-13
188,India,45+,Male,free,2023-08-06
189,Canada,35-44,Male,free,2022-08-10
190,Germany,45+,Female,free,2022-05-06
191,Canada,25-34,Other,free,2023-10-19
192,UK,25-34,Male,free,2022-06-25
193,Germany,35-44,Female,free,2024-08-30
194,UK,35-44,Female,premium,2023-10-26
195,India,45+,Other,free,2023-11-25
196,India,18-24,Male,free,2023-01-10
197,Germany,35-44,Female,free,2024-09-17
198,Germany,35-44,Other,premium,2024-05-08
199,Australia,45+,Female,premium,2023-05-13
200,Canada,45+,Male,free,2022-03-26
201,Australia,35-44,Other,premium,2024-05-25
202,Canada,18-24,Female,free,2023-01-18
203,Australia,35-44,Other,premium,2023-09-25
204,UK,45+,Male,premium,2023-10-03
205,Germany,45+,Other,free,2023-04-08
206,India,35-44,Male,premium,2023-03-27
207,Canada,18-24,Female,free,2023-06-02
208,Canada,35-44,Male,free,2024-04-25
209,India,35-44,Female,free,2023-11-26
210,Australia,45+,Female,premium,2023-07-04
211,Canada,18-24,Male,free,2024-07-17
212,UK,25-34,Female,free,2022-04-26
213,Germany,18-24,Other,premium,2023-09-06
214,India,35-44,Female,free,2022-01-08
215,Germany,35-44,Male,free,2022-08-06
216,Canada,35-44,Other,free,2023-12-20
217,Canada,18-24,Other,free,2023-08-13
218,India,45+,Female,free,2024-05-29
219,UK,35-44,Female,free,2023-02-08
220,USA,35-44,Male,premium,2023-07-21
221,India,18-24,Other,premium,2022-10-31
222,USA,25-34,Male,free,2023-04-12
223,Australia,25-34,Female,free,2024-08-09
224,USA,45+,Other,free,2024-09-19
225,UK,45+,Male,free,2024-01-10
226,Australia,35-44,Male,free,2022-03-29
227,USA,18-24,Male,free,2022-01-10
228,Australia,35-44,Male,premium,2022-11-04
229,USA,45+,Male,free,2023-03-10
230,UK,18-24,Other,free,2024-03-12
231,USA,18-24,Male,premium,2022-06-13
232,USA,45+,Other,free,2022-08-27
233,USA,25-34,Male,free,2022-11-13
234,India,25-34,Female,free,2024-09-22
235,India,18-24,Female,free,2023-10-18
236,India,35-44,Male,premium,2022-12-01
237,UK,25-34,Female,free,2022-01-18
238,Australia,35-44,Other,premium,2022-03-12
239,Canada,25-34,Male,premium,2022-06-24
240,USA,25-34,Other,premium,2024-05-03
241,USA,35-44,Male,premium,2024-03-10
242,UK,45+,Female,free,2024-03-21
243,USA,25-34,Other,free,2022-12-05
244,India,25-34,Female,free,2024-07-24
245,Canada,35-44,Female,free,2022-09-05
246,Germany,45+,Male,premium,2022-07-12
247,USA,25-34,Other,free,2023-02-23
248,India,25-34,Female,premium,2022-11-21
249,Germany,45+,Male,premium,2022-11-02
250,Canada,25-34,Male,premium,2024-02-19
251,Germany,45+,Male,premium,2022-07-23
252,India,45+,Female,free,2024-05-02
253,Australia,35-44,Male,free,2022-05-03
254,Australia,18-24,Other,free,2023-07-24
255,Germany,45+,Other,free,2024-04-30
256,UK,35-44,Female,free,2023-03-23
257,Germany,18-24,Other,premium,2023-12-14
258,USA,25-34,Male,premium,2023-05-06
259,USA,18-24,Female,free,2023-03-09
260,Australia,45+,Male,free,2023-09-16
261,UK,45+,Female,free,2022-05-08
262,India,45+,Female,free,2023-07-02
263,USA,45+,Male,free,2024-01-16
264,Australia,45+,Other,free,2024-04-01
265,Canada,35-44,Other,free,2022-02-16
266,Australia,45+,Female,free,2023-05-20
267,USA,35-44,Male,free,2022-04-25
268,USA,25-34,Male,free,2023-02-20
269,Australia,45+,Female,free,2024-02-06
270,India,45+,Other,free,2024-09-21
271,Germany,18-24,Male,free,2022-08-11
272,USA,25-34,Other,premium,2023-09-28
273,Australia,45+,Other,free,2024-08-06
274,Australia,45+,Female,free,2023-05-18
275,UK,25-34,Female,premium,2023-11-03
276,Germany,35-44,Other,free,2024-08-15
277,Canada,45+,Male,premium,2024-07-21
278,India,18-24,Male,free,2022-04-06
279,Canada,45+,Female,free,2022-04-17
280,Germany,18-24,Other,free,2023-09-24
281,Germany,18-24,Male,free,2023-09-05
282,Germany,45+,Male,free,2023-09-07
283,Canada,45+,Female,free,2023-11-09
284,Germany,18-24,Other,free,2024-07-14
285,Australia,25-34,Male,free,2023-11-29
286,Canada,25-34,Female,free,2022-02-01
287,Germany,45+,Male,free,2023-05-08
288,Australia,35-44,Male,free,2022-03-07
289,UK,25-34,Male,free,2022-06-28
290,Germany,45+,Female,free,2024-02-18
291,Canada,25-34,Other,premium,2023-03-19
292,USA,35-44,Female,free,2024-07-04
293,Germany,45+,Other,free,2023-07-03
294,USA,35-44,Male,free,2022-07-20
295,Australia,45+,Other,free,2024-05-19
296,UK,35-44,Male,premium,2022-02-18
297,India,25-34,Male,free,2024-02-26
298,UK,25-34,Female,free,2024-08-08
299,Germany,35-44,Male,free,2023-11-11
300,USA,35-44,Female,premium,2022-09-20
301,USA,35-44,Other,free,2022-05-13
302,Canada,45+,Other,premium,2024-03-20
303,USA,25-34,Male,premium,2022-12-10
304,Canada,45+,Female,free,2022-06-25
305,Australia,25-34,Male,premium,2023-01-26
306,India,18-24,Female,free,2022-01-11
307,Germany,45+,Female,premium,2022-07-20
308,Canada,25-34,Female,free,2024-08-02
309,India,25-34,Other,free,2024-07-14
310,USA,45+,Female,free,2024-03-19
311,USA,45+,Other,premium,2022-01-03
312,India,25-34,Female,free,2022-08-02
313,USA,45+,Other,free,2024-03-18
314,Australia,35-44,Other,free,2022-11-03
315,Australia,45+,Other,free,2024-09-06
316,India,45+,Male,free,2023-06-28
317,Canada,45+,Female,free,2023-07-14
318,Canada,25-34,Male,free,2022-11-23
319,India,35-44,Female,free,2024-02-03
320,Canada,18-24,Female,free,2022-07-18
321,Canada,18-24,Male,free,2024-07-04
322,Australia,35-44,Other,free,2023-08-24
323,Canada,35-44,Female,premium,2022-04-19
324,UK,35-44,Other,free,2022-10-18
325,Germany,25-34,Male,premium,2022-04-18
326,USA,18-24,Other,premium,2023-02-12
327,UK,35-44,Female,free,2023-07-06
328,Canada,25-34,Female,free,2024-08-30
329,Australia,18-24,Female,premium,2022-02-21
330,India,45+,Male,free,2022-04-22
331,Canada,25-34,Female,free,2022-10-22
332,Australia,18-24,Male,free,2023-08-03
333,Germany,25-34,Other,free,2022-07-08
334,Canada,18-24,Female,premium,2024-04-23
335,India,18-24,Female,free,2023-12-22
336,Australia,45+,Female,free,2022-03-06
337,Australia,25-34,Other,free,2023-07-28
338,Australia,35-44,Female,free,2023-04-10
339,Germany,45+,Male,free,2022-09-15
340,Canada,45+,Other,free,2023-10-08
341,Germany,18-24,Other,premium,2023-09-26
342,USA,35-44,Other,free,2022-11-27
343,USA,25-34,Other,premium,2023-05-16
344,Canada,35-44,Other,free,2023-11-14
345,Germany,35-44,Male,free,2022-07-29
346,India,35-44,Other,free,2024-03-18
347,Australia,35-44,Female,free,2022-03-30
348,Australia,35-44,Other,free,2023-11-10
349,Canada,18-24,Other,free,2022-01-28
350,USA,18-24,Other,premium,2022-08-26
351,USA,45+,Other,premium,2022-12-02
352,Australia,18-24,Other,free,2022-03-04
353,Canada,45+,Male,free,2024-08-17
354,Germany,45+,Male,free,2024-02-06
355,USA,25-34,Other,free,2024-06-26
356,Germany,35-44,Male,free,2023-07-07
357,USA,18-24,Female,free,2023-05-15
358,USA,25-34,Other,premium,2023-06-25
359,UK,18-24,Female,premium,2024-03-01
360,USA,45+,Female,free,2023-04-14
361,India,18-24,Other,free,2023-08-15
362,Canada,35-44,Female,free,2022-02-20
363,Canada,45+,Female,premium,2022-04-22
364,Germany,45+,Female,free,2024-05-22
365,USA,25-34,Other,free,2022-10-28
366,India,35-44,Other,premium,2022-03-31
367,Germany,45+,Female,free,2022-08-17
368,UK,35-44,Other,free,2022-05-30
369,Germany,18-24,Other,free,2024-01-25
370,Germany,35-44,Female,free,2022-05-18
371,USA,45+,Other,free,2022-05-15
372,UK,25-34,Male,free,2023-04-02
373,Germany,45+,Other,free,2023-08-24
374,India,35-44,Male,free,2023-05-09
375,India,35-44,Female,premium,2023-06-11
376,Canada,45+,Other,free,2022-11-29
377,UK,35-44,Female,free,2022-12-28
378,UK,18-24,Female,free,2022-06-23
379,Canada,45+,Female,premium,2023-08-25
380,Germany,25-34,Female,premium,2022-08-01
381,UK,45+,Female,free,2022-12-09
382,India,18-24,Other,free,2022-03-02
383,India,18-24,Male,premium,2024-05-25
384,USA,18-24,Other,free,2024-01-02
385,UK,18-24,Other,free,2022-03-02
386,Germany,18-24,Other,premium,2024-03-29
387,Canada,25-34,Other,free,2023-11-09
388,Canada,35-44,Male,premium,2023-06-08
389,Germany,18-24,Other,premium,2022-08-04
390,Australia,18-24,Female,free,2023-08-12
391,USA,45+,Other,premium,2024-01-14
392,Canada,25-34,Other,premium,2023-09-16
393,UK,25-34,Male,free,2023-08-01
394,USA,35-44,Male,free,2023-11-25
395,UK,25-34,Female,free,2023-02-27
396,India,45+,Other,free,2023-12-17
397,USA,45+,Other,premium,2023-02-27
398,Canada,35-44,Other,free,2023-01-06
399,USA,45+,Female,free,2022-07-25
400,USA,18-24,Male,free,2022-10-13
401,USA,18-24,Female,premium,2022-04-15
402,Australia,45+,Other,free,2024-01-24
403,USA,35-44,Male,free,2024-01-17
404,UK,25-34,Male,free,2023-11-19
405,India,35-44,Female,free,2023-12-24
406,Germany,25-34,Male,free,2023-06-27
407,USA,45+,Male,free,2024-01-17
408,Canada,45+,Other,free,2022-08-30
409,USA,18-24,Other,free,2023-05-06
410,Canada,25-34,Male,premium,2023-10-27
411,UK,35-44,Male,free,2023-12-09
412,Canada,45+,Female,free,2023-05-13
413,Germany,35-44,Female,free,2023-03-11
414,India,18-24,Male,free,2024-02-20
415,Canada,25-34,Other,free,2023-04-29
416,Canada,25-34,Male,free,2023-03-23
417,India,45+,Male,free,2023-01-19
418,Germany,25-34,Other,free,2023-05-25
419,USA,45+,Other,free,2022-06-19
420,Canada,18-24,Female,premium,2024-08-07
421,India,25-34,Female,free,2024-05-18
422,UK,45+,Female,free,2022-11-19
423,India,35-44,Female,free,2024-04-27
424,UK,45+,Other,free,2023-04-19
425,Germany,25-34,Male,free,2022-08-20
426,USA,18-24,Female,free,2023-11-27
427,India,25-34,Female,free,2022-12-25
428,Australia,25-34,Other,free,2022-10-02
429,Canada,45+,Other,free,2024-07-30
430,Germany,35-44,Male,premium,2024-06-29
431,India,25-34,Male,free,2022-02-01
432,Canada,35-44,Other,free,2022-06-26
433,India,45+,Female,premium,2024-07-05
434,UK,35-44,Female,free,2022-03-06
435,India,45+,Female,free,2023-12-11
436,Australia,18-24,Male,free,2022-01-27
437,India,35-44,Female,free,2023-10-25
438,India,35-44,Female,free,2024-03-25
439,Australia,18-24,Other,premium,2023-04-24
440,Germany,35-44,Female,free,2022-09-25
441,India,18-24,Other,free,2023-08-20
442,Australia,25-34,Female,premium,2022-03-07
443,Canada,45+,Male,premium,2022-05-13
444,UK,18-24,Female,free,2024-06-23
445,UK,35-44,Female,free,2024-07-04
446,India,18-24,Other,free,2023-01-01
447,Germany,35-44,Other,free,2022-03-23
448,Germany,25-34,Other,free,2024-06-11
449,Canada,18-24,Female,free,2024-04-10
450,India,25-34,Female,premium,2024-09-08
451,UK,45+,Male,free,2022-11-24
452,Germany,35-44,Female,free,2022-04-08
453,India,35-44,Male,free,2023-08-08
454,Germany,25-34,Other,free,2022-11-23
455,Australia,45+,Other,free,2023-06-26
456,Germany,18-24,Other,free,2022-05-05
457,UK,18-24,Male,premium,2022-07-29
458,USA,35-44,Female,free,2024-09-13
459,Canada,25-34,Other,free,2024-02-23
460,Canada,25-34,Female,free,2023-12-26
461,UK,18-24,Female,free,2022-05-13
462,Germany,45+,Other,free,2023-05-18
463,India,45+,Male,premium,2022-06-06
464,Germany,18-24,Female,premium,2023-07-13
465,UK,18-24,Other,free,2024-05-18
466,Canada,25-34,Female,free,2024-05-24
467,Germany,45+,Female,premium,2023-01-17
468,Canada,18-24,Female,free,2022-01-22
469,India,18-24,Female,free,2024-08-31
470,Canada,35-44,Female,free,2024-08-10
471,Canada,18-24,Male,premium,2023-08-18
472,USA,18-24,Male,free,2023-02-23
473,USA,45+,Other,premium,2023-04-17
474,Australia,25-34,Male,premium,2022-08-22
475,USA,45+,Male,free,2023-07-26
476,Canada,25-34,Male,premium,2023-03-30
477,UK,35-44,Female,premium,2023-12-01
478,Canada,18-24,Female,free,2023-07-24
479,UK,35-44,Other,free,2024-02-10
480,UK,25-34,Other,free,2022-06-11
481,USA,45+,Other,free,2022-10-28
482,Germany,45+,Female,free,2022-11-02
483,India,35-44,Male,free,2022-01-02
484,USA,25-34,Male,free,2022-09-28
485,USA,35-44,Female,premium,2023-02-25
486,Germany,35-44,Other,free,2022-05-23
487,India,18-24,Other,free,2023-12-01
488,Canada,35-44,Other,free,2024-05-13
489,Australia,18-24,Female,free,2024-05-02
490,Australia,18-24,Other,free,2024-08-17
491,Canada,45+,Other,free,2024-09-03
492,USA,18-24,Female,free,2024-09-20
493,India,18-24,Male,premium,2024-01-06
494,USA,45+,Female,premium,2024-05-28
495,UK,35-44,Female,free,2023-11-23
496,USA,25-34,Female,premium,2023-06-19
497,USA,25-34,Female,premium,2024-05-16
498,Canada,25-34,Male,free,2022-02-06
499,Canada,35-44,Other,premium,2022-04-17
500,Canada,18-24,Female,premium,2022-10-24
501,Australia,25-34,Male,free,2024-01-11
502,UK,35-44,Other,free,2024-04-04
503,Canada,18-24,Other,free,2022-04-07
504,India,45+,Other,free,2022-10-08
505,Australia,25-34,Female,premium,2022-04-20
506,Germany,18-24,Female,free,2023-07-03
507,India,25-34,Other,premium,2023-07-06
508,India,25-34,Other,premium,2023-08-20
509,Canada,25-34,Other,free,2024-03-24
510,Germany,18-24,Other,free,2022-07-07
511,Germany,35-44,Other,free,2024-01-22
512,Australia,18-24,Other,free,2024-05-19
513,Germany,25-34,Male,free,2023-05-03
514,UK,18-24,Other,free,2022-12-20
515,Canada,45+,Female,free,2022-01-19
516,Germany,35-44,Female,premium,2024-05-08
517,Australia,18-24,Female,free,2023-01-28
518,UK,45+,Other,free,2024-04-16
519,USA,35-44,Female,free,2022-09-18
520,USA,45+,Male,premium,2024-09-11
521,UK,35-44,Other,free,2023-02-14
522,Australia,18-24,Female,free,2023-02-07
523,UK,45+,Male,premium,2023-11-01
524,Canada,25-34,Male,free,2023-04-29
525,Canada,45+,Female,free,2022-10-31
526,USA,35-44,Male,free,2023-09-16
527,Germany,18-24,Female,premium,2023-10-18
528,Australia,35-44,Male,free,2024-02-07
529,USA,45+,Other,free,2024-08-24
530,Germany,45+,Other,free,2022-01-18
531,Germany,25-34,Other,premium,2022-07-03
532,Canada,18-24,Other,free,2023-02-09
533,India,18-24,Other,free,2024-03-09
534,India,45+,Female,premium,2024-06-15
535,UK,18-24,Other,free,2022-05-11
536,Canada,25-34,Other,premium,2023-04-24
537,Germany,35-44,Other,premium,2024-03-03
538,Australia,18-24,Other,premium,2024-01-27
539,India,45+,Male,free,2022-01-08
540,Germany,35-44,Other,free,2023-12-06
541,India,35-44,Other,premium,2022-11-14
542,India,25-34,Female,premium,2023-01-26
543,India,45+,Male,free,2023-06-03
544,Australia,18-24,Female,premium,2022-05-16
545,Canada,45+,Other,free,2023-06-15
546,Australia,35-44,Female,free,2024-07-01
547,USA,45+,Female,free,2023-10-13
548,Germany,18-24,Other,premium,2023-01-02
549,Canada,18-24,Male,free,2023-05-04
550,Canada,25-34,Male,free,2023-11-20
551,Canada,18-24,Female,premium,2022-01-11
552,Canada,18-24,Other,free,2024-09-24
553,Australia,45+,Female,free,2023-07-07
554,Canada,45+,Female,free,2023-03-22
555,UK,35-44,Female,free,2022-04-24
556,Germany,25-34,Other,free,2023-11-23
557,Canada,45+,Other,premium,2023-12-07
558,Germany,18-24,Male,free,2022-07-15
559,UK,35-44,Other,premium,2024-05-09
560,UK,45+,Female,free,2024-01-07
561,Germany,25-34,Female,free,2024-04-22
562,India,25-34,Male,free,2022-11-19
563,USA,35-44,Other,free,2024-07-24
564,India,35-44,Female,free,2024-02-12
565,India,35-44,Male,free,2023-05-27
566,Australia,35-44,Male,free,2023-09-20
567,India,35-44,Female,free,2024-09-07
568,Canada,18-24,Female,free,2023-10-24
569,Australia,18-24,Other,free,2023-09-22
570,Australia,45+,Male,premium,2022-06-14
571,UK,25-34,Female,free,2022-09-09
572,India,18-24,Male,free,2024-02-18
573,UK,18-24,Other,premium,2022-02-13
574,Germany,18-24,Female,premium,2023-04-15
575,USA,45+,Other,free,2023-05-04
576,Australia,35-44,Male,free,2022-06-30
577,Germany,45+,Other,free,2022-03-18
578,Germany,25-34,Other,free,2023-01-09
579,Canada,25-34,Male,premium,2023-09-20
580,USA,25-34,Other,premium,2024-08-14
581,Germany,25-34,Male,free,2022-03-08
582,Germany,18-24,Female,premium,2023-06-09
583,USA,18-24,Male,free,2022-04-02
584,USA,45+,Male,free,2024-01-28
585,Germany,35-44,Female,premium,2024-02-18
586,USA,25-34,Male,free,2023-10-13
587,Germany,45+,Female,premium,2024-05-02
588,Germany,18-24,Female,premium,2022-09-01
589,Canada,18-24,Male,free,2022-12-07
590,India,35-44,Other,free,2024-06-21
591,Germany,35-44,Other,free,2024-02-24
592,UK,35-44,Female,free,2022-10-31
593,Australia,45+,Other,free,2023-02-02
594,India,18-24,Other,free,2023-12-04
595,India,18-24,Male,premium,2023-03-24
596,India,35-44,Female,free,2022-04-07
597,Canada,25-34,Female,free,2022-11-27
598,Germany,35-44,Male,free,2022-07-24
599,Canada,45+,Other,premium,2023-03-25
600,Germany,35-44,Female,free,2023-02-22
601,Canada,35-44,Other,free,2023-10-11
602,Canada,45+,Female,premium,2022-03-18
603,Australia,35-44,Female,free,2024-06-14
604,UK,18-24,Female,free,2023-07-03
605,Canada,25-34,Female,premium,2024-03-08
606,Australia,35-44,Other,free,2023-03-01
607,USA,45+,Other,premium,2023-03-05
608,UK,25-34,Other,free,2023-04-30
609,Canada,45+,Other,free,2024-03-25
610,India,25-34,Male,premium,2022-05-15
611,USA,25-34,Female,free,2023-10-16
612,USA,35-44,Female,premium,2022-09-11
613,Australia,18-24,Female,premium,2023-07-14
614,USA,35-44,Male,premium,2022-09-12
615,UK,45+,Other,premium,2023-10-08
616,Canada,45+,Female,free,2024-03-12
617,Canada,25-34,Other,premium,2023-12-21
618,India,25-34,Other,free,2023-05-14
619,Australia,18-24,Male,free,2023-09-05
620,India,35-44,Male,premium,2023-04-29
621,USA,45+,Other,free,2022-02-15
622,India,25-34,Female,free,2023-03-19
623,UK,18-24,Female,free,2023-08-05
624,Canada,45+,Male,free,2023-10-10
625,USA,25-34,Male,premium,2024-03-02
626,India,45+,Male,free,2023-08-02
627,Australia,18-24,Male,free,2022-01-04
628,UK,18-24,Male,premium,2024-01-06
629,UK,45+,Male,free,2022-01-01
630,India,35-44,Male,free,2022-10-17
631,Canada,45+,Female,free,2022-04-19
632,India,25-34,Male,free,2024-02-16
633,USA,35-44,Male,free,2023-07-29
634,India,25-34,Female,premium,2023-04-05
635,UK,45+,Female,free,2022-09-23
636,India,35-44,Other,premium,2022-05-18
637,Canada,25-34,Male,premium,2023-03-10
638,Australia,45+,Male,free,2022-02-13
639,Germany,45+,Male,free,2024-06-04
640,India,35-44,Male,free,2023-05-25
641,Canada,45+,Other,free,2024-08-01
642,Canada,18-24,Female,premium,2024-09-09
643,Australia,25-34,Female,free,2022-09-19
644,UK,25-34,Male,free,2023-12-29
645,Canada,45+,Male,free,2023-09-25
646,Canada,45+,Male,free,2022-06-01
647,Canada,18-24,Other,free,2022-08-01
648,Canada,35-44,Other,free,2022-08-22
649,USA,45+,Female,free,2024-05-12
650,USA,45+,Male,free,2023-09-15
651,UK,45+,Male,free,2024-08-11
652,India,45+,Male,premium,2022-12-27
653,Canada,25-34,Male,free,2022-11-16
654,Australia,45+,Other,free,2022-08-10
