session_id,listener_id,episode_id,listen_start_time,listen_minutes,completion_percent,device,platform
110,3807,357,2024-04-03 04:36:00,62,65,Mobile,Web
111,3750,19,2024-01-23 06:48:00,38,95,Mobile,Android
112,2541,264,2024-10-05 16:09:00,51,42,Desktop,iOS
113,1566,147,2024-01-25 22:22:00,46,40,Desktop,Android
114,1020,189,2024-08-13 13:11:00,56,84,Desktop,iOS
115,4065,355,2024-09-22 09:06:00,64,100,Mobile,Web
116,3478,41,2024-04-02 18:37:00,56,60,Desktop,Android
117,841,41,2024-05-31 10:27:00,42,42,Desktop,Web
118,3491,86,2024-06-28 15:15:00,89,100,Mobile,Web
119,2889,315,2024-11-23 01:57:00,56,100,Mobile,Web
120,3328,187,2024-12-13 05:27:00,66,56,Mobile,iOS
121,4978,348,2024-03-05 02:17:00,57,100,Mobile,Web
122,3001,186,2024-01-17 20:39:00,50,57,Mobile,Web
123,3686,190,2024-02-09 19:35:00,48,67,Mobile,Web
124,3007,204,2024-05-22 08:31:00,41,41,Mobile,iOS
125,1525,256,2024-10-14 04:01:00,67,100,Desktop,Android
126,3656,110,2024-12-21 16:45:00,79,100,Mobile,iOS
127,1112,38,2024-12-31 15:11:00,58,100,Mobile,Web
128,2619,342,2024-02-03 18:46:00,45,42,Tablet,Android
129,2458,81,2024-03-30 12:20:00,90,93,Tablet,iOS
130,995,103,2024-09-09 00:53:00,18,40,Desktop,Web
131,4689,189,2024-10-09 04:25:00,60,51,Tablet,iOS
132,539,159,2024-09-02 17:56:00,51,48,Desktop,Android
133,4710,38,2024-11-24 02:31:00,17,30,Desktop,Android
134,4239,177,2024-10-09 21:50:00,17,14,Tablet,iOS
135,1058,222,2024-03-04 17:41:00,65,100,Mobile,Android
136,1349,83,2024-04-25 11:48:00,42,40,Tablet,Android
137,647,129,2024-10-09 09:22:00,26,27,Mobile,Web
138,2481,315,2024-09-14 21:52:00,69,100,Mobile,Web
139,4757,79,2024-11-15 20:39:00,22,22,Desktop,Web
140,338,15,2024-11-24 19:41:00,11,55,Desktop,Web
141,1727,293,2024-11-23 01:02:00,54,57,Desktop,Web
142,4470,149,2024-09-04 08:21:00,83,100,Tablet,Android
143,2437,233,2024-01-31 05:23:00,10,9,Desktop,Android
144,3967,238,2024-11-06 04:54:00,27,46,Desktop,Web
145,2616,376,2024-03-07 12:38:00,45,68,Tablet,Web
146,870,164,2024-03-03 09:07:00,31,41,Desktop,iOS
147,1155,50,2024-07-15 21:00:00,7,13,Desktop,iOS
148,1309,168,2024-06-09 06:28:00,74,69,Mobile,Android
149,4217,240,2024-09-11 00:47:00,64,100,Mobile,Android
150,4141,235,2024-10-25 12:02:00,31,73,Mobile,iOS
151,2305,254,2024-12-10 16:03:00,77,78,Desktop,Web
152,67,56,2024-05-15 12:29:00,56,100,Desktop,Android
153,371,206,2024-10-14 06:38:00,7,8,Desktop,Web
154,2365,38,2024-08-18 18:46:00,50,63,Desktop,Web
155,974,66,2024-07-10 11:34:00,13,20,Tablet,Android
156,1182,102,2024-07-24 17:04:00,78,97,Mobile,iOS
157,319,71,2024-08-30 17:43:00,43,36,Desktop,iOS
158,4967,264,2024-11-09 10:52:00,18,32,Mobile,Android
159,2452,304,2024-09-17 18:10:00,44,55,Desktop,Web
160,4612,154,2024-01-09 12:34:00,61,51,Desktop,Web
161,898,214,2024-12-18 21:28:00,75,100,Mobile,Web
162,3888,136,2024-10-23 19:42:00,84,73,Mobile,Web
163,421,299,2024-09-25 21:28:00,62,100,Tablet,Web
164,3115,76,2024-01-17 19:32:00,88,100,Tablet,iOS
165,1563,10,2024-08-02 05:10:00,57,100,Desktop,Web
166,1671,211,2024-11-09 16:05:00,65,57,Tablet,Web
167,511,362,2024-04-16 19:08:00,18,22,Desktop,Web
168,3919,270,2024-03-29 15:41:00,49,89,Tablet,Android
169,4476,182,2024-12-14 21:57:00,87,76,Tablet,Android
170,4998,248,2024-05-22 19:02:00,25,54,Desktop,iOS
171,2439,148,2024-12-26 16:41:00,27,26,Desktop,Android
172,2858,287,2024-03-03 19:34:00,36,70,Tablet,Web
173,3111,203,2024-03-15 09:54:00,45,39,Mobile,Android
174,648,178,2024-05-11 16:21:00,57,58,Mobile,iOS
175,4413,139,2024-05-19 04:41:00,72,69,Mobile,Web
176,4808,123,2024-12-08 18:07:00,32,100,Mobile,Web
177,1908,27,2024-06-18 16:07:00,13,19,Mobile,Web
178,1127,3,2024-07-27 22:17:00,71,100,Desktop,Android
179,1634,148,2024-11-26 02:01:00,42,82,Mobile,Web
180,4704,119,2024-01-20 05:58:00,69,63,Desktop,iOS
181,298,204,2024-05-28 01:16:00,64,100,Mobile,Android
182,4653,309,2024-05-25 15:30:00,14,24,Tablet,Web
183,4296,253,2024-08-27 09:18:00,18,22,Mobile,iOS
184,2709,84,2024-05-11 06:21:00,59,60,Mobile,Web
185,2762,152,2024-04-08 05:59:00,73,72,Tablet,Web
186,3322,219,2024-02-14 13:40:00,66,100,Tablet,iOS
187,1514,72,2024-05-07 00:13:00,62,100,Desktop,Android
188,1930,229,2024-06-03 19:52:00,35,61,Tablet,Web
189,94,134,2024-12-20 08:03:00,84,100,Mobile,Web
190,969,239,2024-07-26 23:25:00,40,100,Tablet,Web
191,2548,354,2024-05-31 12:32:00,16,16,Tablet,iOS
192,1796,69,2024-08-20 20:40:00,62,100,Desktop,Android
193,4500,242,2024-12-06 07:27:00,69,58,Mobile,Web
194,4881,42,2024-09-27 12:20:00,68,94,Mobile,Web
195,920,32,2024-04-13 19:32:00,71,89,Tablet,iOS
196,1348,168,2024-02-29 23:13:00,67,94,Mobile,Web
197,4778,251,2024-08-16 01:53:00,12,15,Desktop,iOS
198,4205,213,2024-01-30 19:04:00,59,67,Desktop,Web
199,2525,371,2024-05-10 00:06:00,3,5,Tablet,iOS
200,4738,38,2024-06-25 23:54:00,6,8,Mobile,Web
201,494,36,2024-05-26 13:57:00,61,100,Mobile,iOS
202,3444,192,2024-07-12 12:49:00,49,68,Mobile,Web
203,4418,69,2024-03-01 06:05:00,84,100,Tablet,Android
204,4333,66,2024-01-12 10:11:00,29,100,Desktop,Web
205,4461,218,2024-04-27 08:26:00,69,100,Desktop,Android
206,1271,142,2024-02-27 01:05:00,25,23,Tablet,Android
207,129,124,2024-02-21 20:16:00,27,100,Mobile,Android
208,4898,345,2024-01-23 13:43:00,7,15,Desktop,iOS
209,4422,112,2024-09-14 09:52:00,8,25,Mobile,Web
210,4720,164,2024-12-10 10:56:00,74,81,Mobile,Android
211,1174,339,2024-07-30 10:15:00,67,100,Desktop,iOS
212,4561,303,2024-12-13 14:34:00,23,24,Tablet,Android
213,385,177,2024-07-14 17:54:00,83,83,Desktop,Web
214,3411,210,2024-07-11 06:16:00,20,37,Tablet,Android
215,1975,116,2024-03-14 15:48:00,39,37,Mobile,Web
216,3381,214,2024-03-09 13:15:00,72,87,Mobile,Android
217,1666,170,2024-08-18 12:39:00,83,100,Mobile,Web
218,1561,27,2024-12-10 20:38:00,35,55,Tablet,iOS
219,597,97,2024-12-09 19:04:00,76,71,Mobile,Android
220,1712,171,2024-04-18 06:29:00,39,100,Tablet,iOS
221,3924,125,2024-12-26 06:58:00,90,97,Desktop,iOS
222,4523,165,2024-08-26 18:12:00,37,58,Tablet,Android
223,2527,134,2024-09-11 15:54:00,47,58,Mobile,Web
224,3847,164,2024-06-09 14:07:00,27,43,Mobile,Web
225,1813,380,2024-05-13 18:53:00,19,100,Tablet,Web
226,3421,152,2024-06-17 07:51:00,20,50,Desktop,Web
227,2014,256,2024-12-16 11:31:00,71,72,Desktop,Android
228,4019,236,2024-06-29 05:46:00,22,20,Mobile,Web
229,4478,251,2024-11-24 02:00:00,24,28,Tablet,iOS
230,609,343,2024-01-04 14:04:00,7,6,Mobile,Web
231,1896,35,2024-04-21 17:15:00,20,100,Desktop,Android
232,496,317,2024-11-11 16:29:00,82,82,Tablet,Android
233,129,4,2024-07-29 00:24:00,69,81,Mobile,Web
234,2251,275,2024-09-14 23:49:00,37,100,Tablet,Android
235,1469,55,2024-03-17 08:13:00,13,15,Mobile,Web
236,4313,130,2024-07-22 02:41:00,46,93,Desktop,Android
237,3761,290,2024-04-25 10:14:00,32,30,Tablet,iOS
238,260,48,2024-07-12 18:51:00,52,82,Desktop,iOS
239,78,360,2024-09-12 14:48:00,22,88,Tablet,Android
240,4636,49,2024-04-27 07:12:00,68,100,Tablet,Web
241,3896,139,2024-12-16 09:34:00,6,25,Tablet,Web
242,270,92,2024-04-16 20:02:00,41,100,Mobile,Web
243,3263,40,2024-10-15 08:12:00,39,100,Tablet,Android
244,4429,170,2024-03-12 23:31:00,50,45,Tablet,iOS
245,4103,382,2024-02-20 14:55:00,45,100,Mobile,iOS
246,2791,310,2024-07-22 11:08:00,79,86,Mobile,Web
247,2240,231,2024-07-01 18:52:00,63,100,Desktop,Android
248,1522,349,2024-07-13 02:55:00,75,75,Tablet,Android
249,2019,366,2024-05-17 05:15:00,10,40,Desktop,Web
250,1264,379,2024-07-03 03:38:00,50,90,Mobile,iOS
251,2526,228,2024-05-18 03:29:00,47,41,Mobile,iOS
252,1536,221,2024-10-11 17:29:00,58,67,Desktop,iOS
253,216,46,2024-02-17 20:22:00,46,54,Tablet,Android
254,3156,7,2024-07-17 02:53:00,38,56,Tablet,Web
255,1989,293,2024-12-16 12:59:00,67,100,Mobile,iOS
256,2203,155,2024-03-15 02:09:00,35,44,Mobile,Android
257,2261,216,2024-02-09 12:19:00,39,51,Desktop,iOS
258,4062,305,2024-08-22 03:39:00,79,100,Mobile,Android
259,56,203,2024-07-13 11:14:00,43,45,Desktop,Android
260,3528,334,2024-06-02 10:56:00,77,100,Tablet,Web
261,1646,246,2024-07-22 10:53:00,41,100,Desktop,Web
262,4023,295,2024-07-11 09:34:00,32,57,Desktop,Android
263,933,289,2024-10-06 06:08:00,26,28,Tablet,Web
264,221,373,2024-04-17 14:57:00,60,57,Desktop,Web
265,567,210,2024-03-12 21:37:00,87,100,Desktop,iOS
266,2070,338,2024-08-04 12:52:00,20,18,Mobile,Android
267,4899,246,2024-09-30 17:17:00,75,100,Tablet,Android
268,4454,19,2024-10-01 20:16:00,47,45,Tablet,iOS
269,896,128,2024-06-30 05:40:00,85,85,Tablet,Web
270,363,289,2024-11-27 13:38:00,83,82,Desktop,Android
271,868,6,2024-04-23 17:25:00,13,27,Tablet,Web
272,4572,298,2024-04-23 15:12:00,89,100,Desktop,Android
273,3794,348,2024-09-13 05:08:00,76,73,Desktop,iOS
274,3955,54,2024-02-13 03:57:00,38,55,Tablet,iOS
275,2854,160,2024-04-15 17:47:00,44,60,Desktop,Android
276,3901,50,2024-12-22 15:26:00,57,53,Desktop,iOS
277,2460,23,2024-06-24 22:07:00,15,88,Mobile,Web
278,1347,380,2024-03-30 18:50:00,32,39,Mobile,Android
279,4587,219,2024-07-26 21:29:00,60,100,Mobile,iOS
280,3541,203,2024-11-10 06:44:00,4,5,Desktop,Web
281,3519,200,2024-04-19 07:01:00,1,5,Desktop,Web
282,513,296,2024-10-01 06:22:00,14,11,Desktop,Android
283,1615,235,2024-12-09 16:42:00,15,31,Tablet,Web
284,2568,306,2024-07-19 20:02:00,50,53,Mobile,Android
285,2884,235,2024-12-10 10:09:00,80,100,Tablet,Web
286,695,345,2024-03-01 08:08:00,18,32,Desktop,iOS
287,1500,192,2024-09-18 13:15:00,89,100,Desktop,Web
288,1130,295,2024-04-05 16:36:00,50,72,Tablet,Web
289,1420,285,2024-05-27 04:47:00,22,28,Mobile,Android
290,3695,318,2024-01-05 16:32:00,7,11,Mobile,iOS
291,3146,288,2024-09-10 13:57:00,65,66,Tablet,Android
292,3405,364,2024-03-26 02:49:00,57,74,Tablet,iOS
293,1807,150,2024-04-25 18:21:00,5,10,Desktop,iOS
294,3747,290,2024-09-18 03:51:00,64,75,Tablet,iOS
295,2195,279,2024-01-22 15:03:00,47,55,Tablet,iOS
296,3483,53,2024-05-06 10:09:00,84,75,Mobile,Android
297,2153,179,2024-03-01 08:05:00,12,16,Mobile,Web
298,4817,353,2024-11-08 21:35:00,45,42,Desktop,iOS
299,1141,106,2024-01-31 19:27:00,27,22,Desktop,Web
300,2303,306,2024-06-14 09:59:00,69,100,Desktop,Web
301,2191,264,2024-02-18 04:37:00,87,73,Desktop,iOS
302,2272,336,2024-03-08 08:31:00,17,16,Mobile,Web
303,2639,127,2024-09-07 04:51:00,87,100,Tablet,Web
304,2202,322,2024-08-19 02:34:00,54,85,Tablet,iOS
305,3301,264,2024-07-07 15:31:00,36,34,Desktop,Android
306,4768,2,2024-08-22 21:40:00,12,11,Tablet,Web
307,2935,33,2024-04-21 14:39:00,69,100,Mobile,Android
308,2200,166,2024-10-07 19:43:00,37,63,Mobile,Web
309,3976,176,2024-01-25 01:34:00,88,78,Mobile,Web
310,3765,9,2024-08-13 15:34:00,16,45,Mobile,Android
311,1658,353,2024-06-03 05:25:00,17,17,Desktop,iOS
312,2953,129,2024-12-06 22:08:00,11,17,Mobile,iOS
313,3247,321,2024-12-24 07:59:00,40,37,Desktop,Web
314,748,361,2024-04-19 16:16:00,13,86,Mobile,iOS
315,4864,116,2024-08-15 00:19:00,67,65,Mobile,Web
316,2815,62,2024-03-08 16:18:00,55,53,Mobile,iOS
317,3139,46,2024-06-09 12:32:00,14,50,Desktop,iOS
318,3136,386,2024-12-12 04:52:00,18,18,Mobile,Web
319,4615,5,2024-03-25 15:01:00,79,80,Desktop,Web
320,1746,322,2024-11-11 23:26:00,20,29,Desktop,iOS
321,711,52,2024-03-04 20:07:00,18,16,Tablet,Android
322,2880,220,2024-03-12 08:27:00,41,35,Desktop,Web
323,691,128,2024-11-03 20:44:00,71,78,Desktop,Web
324,220,338,2024-09-22 20:42:00,39,95,Tablet,iOS
325,3210,152,2024-05-02 16:53:00,83,100,Desktop,iOS
326,1975,256,2024-02-06 18:01:00,82,90,Mobile,Android
327,2593,68,2024-08-03 12:28:00,50,57,Tablet,Web
328,1416,242,2024-10-27 02:18:00,10,58,Mobile,Android
329,1768,21,2024-07-22 17:17:00,8,6,Desktop,Web
330,4105,213,2024-07-24 02:48:00,55,52,Tablet,Web
331,4405,316,2024-02-12 10:34:00,20,40,Mobile,Web
332,1665,80,2024-07-19 20:01:00,69,100,Tablet,Web
333,542,159,2024-05-02 01:58:00,90,100,Mobile,iOS
334,3560,60,2024-11-07 01:52:00,59,63,Desktop,Web
335,1439,62,2024-03-11 23:56:00,2,5,Mobile,iOS
336,4067,178,2024-05-12 05:41:00,67,82,Desktop,iOS
337,2202,376,2024-01-16 11:26:00,16,14,Desktop,Android
338,4292,33,2024-10-22 21:25:00,34,32,Mobile,Android
339,3729,262,2024-09-12 19:20:00,47,100,Mobile,Android
340,1289,131,2024-12-11 03:56:00,14,15,Mobile,Web
341,4169,2,2024-05-05 01:34:00,6,37,Desktop,Android
342,3138,77,2024-10-10 22:22:00,23,100,Desktop,iOS
343,2637,128,2024-06-12 09:15:00,54,50,Mobile,Web
344,3055,62,2024-01-27 06:07:00,65,64,Mobile,Web
345,377,206,2024-05-24 10:36:00,9,12,Desktop,iOS
346,4531,234,2024-04-12 09:57:00,2,5,Tablet,Android
347,1988,238,2024-09-09 06:40:00,48,53,Tablet,Web
348,2009,78,2024-01-13 07:57:00,1,5,Tablet,Android
349,79,172,2024-12-02 12:50:00,1,5,Tablet,Web
350,2520,54,2024-05-01 14:19:00,27,32,Desktop,iOS
351,1167,365,2024-01-23 07:54:00,36,100,Tablet,Android
352,3052,235,2024-02-18 17:15:00,11,12,Mobile,Web
353,3231,39,2024-02-01 14:50:00,76,87,Tablet,iOS
354,1940,150,2024-07-20 23:55:00,34,61,Tablet,Android
355,2606,232,2024-02-08 06:55:00,35,79,Mobile,Web
356,893,80,2024-08-18 15:54:00,14,38,Desktop,Android
357,990,275,2024-04-16 15:25:00,46,40,Desktop,Android
358,2171,62,2024-12-17 10:23:00,12,34,Tablet,Web
359,4943,21,2024-03-16 03:06:00,28,50,Tablet,iOS
360,2915,203,2024-12-12 10:12:00,66,100,Desktop,iOS
361,255,208,2024-10-08 08:31:00,58,67,Mobile,Android
362,835,72,2024-02-01 07:35:00,16,100,Mobile,iOS
363,3282,191,2024-11-26 02:52:00,88,92,Tablet,Web
364,2121,39,2024-04-11 22:02:00,3,13,Desktop,iOS
365,754,170,2024-08-24 01:43:00,16,80,Mobile,Web
366,3549,371,2024-01-16 13:03:00,51,65,Tablet,Android
367,1416,182,2024-05-20 09:33:00,28,73,Desktop,iOS
368,284,315,2024-05-05 22:05:00,80,86,Desktop,Android
369,3376,282,2024-02-14 09:32:00,62,100,Desktop,iOS
370,3435,103,2024-09-26 08:30:00,83,70,Tablet,Web
371,160,196,2024-10-05 16:32:00,46,60,Desktop,Web
372,4116,165,2024-04-02 00:53:00,50,100,Desktop,Web
373,1795,16,2024-08-29 18:04:00,36,100,Desktop,Web
374,1907,82,2024-12-02 08:13:00,13,28,Desktop,Web
375,459,113,2024-07-17 12:06:00,74,63,Mobile,iOS
376,1938,304,2024-12-23 12:14:00,41,34,Tablet,iOS
377,2881,291,2024-10-15 06:25:00,73,100,Desktop,Web
378,2532,90,2024-02-16 01:55:00,63,100,Mobile,Web
379,1793,11,2024-01-01 11:19:00,68,89,Tablet,iOS
380,1069,175,2024-06-14 02:01:00,23,19,Mobile,iOS
381,4806,361,2024-02-26 17:57:00,19,16,Desktop,iOS
382,3061,361,2024-10-27 03:26:00,85,100,Desktop,Android
383,2643,70,2024-08-11 21:49:00,21,19,Desktop,Web
384,2600,90,2024-11-10 12:10:00,72,69,Mobile,Web
385,4825,90,2024-12-18 10:03:00,49,90,Mobile,iOS
386,15,360,2024-10-17 01:06:00,74,100,Mobile,Web
387,2607,314,2024-10-16 03:33:00,29,30,Desktop,iOS
388,2713,382,2024-06-26 10:54:00,10,22,Mobile,Web
389,727,363,2024-06-20 15:14:00,86,89,Mobile,Android
390,1718,128,2024-06-28 08:45:00,89,100,Mobile,Web
391,11,25,2024-08-02 05:40:00,50,70,Desktop,Android
392,3103,180,2024-02-21 16:21:00,70,100,Tablet,Web
393,1848,84,2024-01-18 10:03:00,58,100,Mobile,Android
394,2140,54,2024-03-28 12:48:00,10,17,Mobile,Web
395,615,281,2024-10-31 20:56:00,12,20,Desktop,Web
396,254,221,2024-11-06 14:49:00,84,100,Mobile,iOS
397,830,170,2024-07-28 23:47:00,27,69,Tablet,Web
398,4425,136,2024-06-01 08:06:00,85,100,Mobile,iOS
399,3219,293,2024-03-19 01:51:00,71,92,Desktop,iOS
400,3503,45,2024-12-04 21:20:00,38,31,Tablet,Android
401,1636,50,2024-03-28 21:47:00,4,9,Desktop,iOS
402,3880,60,2024-07-22 16:04:00,40,34,Desktop,Web
403,2171,47,2024-07-17 06:18:00,83,98,Desktop,Android
404,3027,96,2024-05-14 15:00:00,58,100,Desktop,Android
405,1854,138,2024-03-18 23:46:00,73,100,Tablet,iOS
406,703,343,2024-10-04 14:07:00,45,38,Tablet,iOS
407,4536,32,2024-09-24 14:17:00,50,42,Tablet,Web
408,3890,294,2024-06-02 02:41:00,31,41,Desktop,Web
409,285,258,2024-10-19 23:07:00,74,91,Tablet,iOS
410,986,230,2024-04-18 06:34:00,23,63,Mobile,iOS
411,3469,41,2024-04-13 21:24:00,88,100,Mobile,Web
412,2113,164,2024-07-17 18:59:00,9,34,Desktop,Web
413,2672,142,2024-01-07 23:54:00,67,91,Tablet,Web
414,4281,215,2024-03-17 05:03:00,15,22,Tablet,Web
415,4774,52,2024-02-21 09:45:00,14,16,Tablet,Android
416,3367,136,2024-09-05 19:31:00,50,51,Tablet,Android
417,307,89,2024-03-14 21:06:00,36,54,Tablet,Web
418,3291,20,2024-12-19 08:06:00,51,89,Mobile,Web
419,3893,138,2024-06-21 10:20:00,48,100,Desktop,Android
420,4028,357,2024-04-26 04:35:00,88,100,Desktop,Web
421,3630,165,2024-08-01 20:38:00,35,32,Tablet,iOS
422,1540,227,2024-07-27 16:32:00,28,23,Tablet,Android
423,461,264,2024-06-08 17:17:00,21,91,Desktop,iOS
424,4295,292,2024-04-08 06:51:00,4,10,Mobile,iOS
425,271,234,2024-12-26 06:47:00,7,11,Desktop,Android
426,3803,259,2024-03-04 23:15:00,51,53,Mobile,iOS
427,3052,251,2024-03-31 16:11:00,77,100,Tablet,Web
428,2866,177,2024-12-18 03:05:00,21,43,Desktop,iOS
429,3167,26,2024-04-19 07:33:00,21,23,Tablet,iOS
430,1694,138,2024-09-19 00:41:00,84,100,Tablet,iOS
431,3884,68,2024-11-03 00:17:00,83,100,Mobile,Android
432,4984,157,2024-08-04 12:51:00,83,100,Desktop,Android
433,2065,112,2024-12-12 17:46:00,60,100,Tablet,Android
